b:tnow in s;m:u in p.u.
17.28;1.000075
17.3;1.000011
17.32;1.000047
17.34;1.000130
17.36;1.000188
17.38;1.000234
17.4;1.000158
17.42;1.000039
17.44;1.000028
17.46;1.000043
17.48;1.000023
17.5;1.000004
17.52;1.000016
17.54;1.000075
17.56;1.000145
17.58;1.000161
17.6;1.000163
17.62;1.000192
17.64;1.000161
17.66;1.000082
17.68;1.000043
17.7;1.000040
17.72;1.000035
17.74;1.000040
17.76;1.000116
17.78;1.000188
17.8;1.000165
17.82;1.000143
17.84;1.000162
17.86;1.000170
17.88;1.000155
17.9;1.000083
17.92;1.000000
17.94;0.999990
17.96;1.000080
17.98;1.000181
18;1.000128
18.02;1.000030
18.04;1.000081
18.06;1.000174
18.08;1.000182
18.1;1.000146
18.12;1.000104
18.14;1.000085
18.16;1.000094
18.18;1.000119
18.2;1.000152
18.22;1.000147
18.24;1.000122
18.26;1.000136
18.28;1.000175
18.3;1.000190
18.32;1.000143
18.34;1.000080
18.36;1.000067
18.38;1.000111
18.4;1.000182
18.42;1.000166
18.44;1.000063
18.46;1.000019
18.48;1.000042
18.5;1.000035
18.52;1.000023
18.54;1.000092
18.56;1.000178
18.58;1.000190
18.6;1.000179
18.62;1.000190
18.64;1.000235
18.66;1.000294
18.68;1.000267
18.7;1.000146
18.72;1.000036
18.74;1.000026
18.76;1.000092
18.78;1.000142
18.8;1.000172
18.82;1.000230
18.84;1.000280
18.86;1.000253
18.88;1.000198
18.9;1.000167
18.92;1.000121
18.94;1.000061
18.96;1.000001
18.98;0.999980
19;1.000039
19.02;1.000103
19.04;1.000160
19.06;1.000230
19.08;1.000232
19.1;1.000236
19.12;1.000281
19.14;1.000252
19.16;1.000189
19.18;1.000172
19.2;1.000143
19.22;1.000037
19.24;0.999938
19.26;0.999954
19.28;1.000007
19.3;0.999993
19.32;0.999963
19.34;0.999991
19.36;1.000074
19.38;1.000194
19.4;1.000277
19.42;1.000249
19.44;1.000173
19.46;1.000125
19.48;1.000112
19.5;1.000084
19.52;1.000019
19.54;0.999982
19.56;0.999945
19.58;0.999954
19.6;1.000088
19.62;1.000160
19.64;1.000123
19.66;1.000143
19.68;1.000169
19.7;1.000132
19.72;1.000107
19.74;1.000116
19.76;1.000109
19.78;1.000077
19.8;1.000067
19.82;1.000057
19.84;1.000030
19.86;1.000039
19.88;1.000079
19.9;1.000117
19.92;1.000153
19.94;1.000161
19.96;1.000143
19.98;1.000187
20;1.000256
20.02;1.000230
20.04;1.000170
20.06;1.000150
20.08;1.000117
20.1;1.000093
20.12;1.000097
20.14;1.000073
20.16;1.000054
20.18;1.000105
20.2;1.000143
20.22;1.000138
20.24;1.000156
20.26;1.000197
20.28;1.000232
20.3;1.000256
20.32;1.000255
20.34;1.000205
20.36;1.000140
20.38;1.000056
20.4;0.999967
20.42;0.999956
20.44;1.000022
20.46;1.000087
20.48;1.000066
20.5;1.000044
20.52;1.000125
20.54;1.000198
20.56;1.000224
20.58;1.000245
20.6;1.000229
20.62;1.000211
20.64;1.000226
20.66;1.000221
20.68;1.000149
20.7;1.000086
20.72;1.000087
20.74;1.000105
20.76;1.000120
20.78;1.000127
20.8;1.000107
20.82;1.000071
20.84;1.000089
20.86;1.000170
20.88;1.000207
20.9;1.000161
20.92;1.000111
20.94;1.000091
20.96;1.000081
20.98;1.000117
21;1.000142
21.02;1.000100
21.04;1.000099
21.06;1.000180
21.08;1.000213
21.1;1.000162
21.12;1.000127
21.14;1.000135
21.16;1.000161
21.18;1.000114
21.2;0.999969
21.22;0.999939
21.24;1.000010
21.26;1.000014
21.28;1.000001
21.3;1.000033
21.32;1.000060
21.34;1.000030
21.36;0.999997
21.38;1.000001
21.4;1.000004
21.42;1.000021
21.44;1.000067
21.46;1.000098
21.48;1.000114
21.5;1.000117
21.52;1.000061
21.54;0.999990
21.56;0.999962
21.58;0.999943
21.6;0.999910
21.62;0.999905
21.64;0.999924
21.66;0.999938
21.68;0.999969
21.7;1.000009
21.72;1.000087
21.74;1.000218
21.76;1.000277
21.78;1.000222
21.8;1.000147
21.82;1.000094
21.84;1.000066
21.86;1.000047
21.88;1.000013
21.9;0.999960
21.92;0.999905
21.94;0.999908
21.96;0.999991
21.98;1.000068
22;1.000033
22.02;0.999980
22.04;1.000060
22.06;1.000191
22.08;1.000239
22.1;1.000210
22.12;1.000159
22.14;1.000108
22.16;1.000049
22.18;0.999981
22.2;0.999946
22.22;1.000007
22.24;1.000110
22.26;1.000129
22.28;1.000063
22.3;1.000003
22.32;1.000019
22.34;1.000095
22.36;1.000114
22.38;1.000054
22.4;1.000002
22.42;0.999946
22.44;0.999966
22.46;1.000107
22.48;1.000169
22.5;1.000137
22.52;1.000116
22.54;1.000092
22.56;1.000091
22.58;1.000133
22.6;1.000096
22.62;0.999978
22.64;0.999934
22.66;0.999986
22.68;1.000039
22.7;1.000044
22.72;1.000009
22.74;0.999959
22.76;0.999959
22.78;1.000033
22.8;1.000073
22.82;1.000016
22.84;0.999939
22.86;0.999953
22.88;1.000054
22.9;1.000089
22.92;0.999995
22.94;0.999936
22.96;1.000002
22.98;1.000063
23;1.000019
23.02;0.999926
23.04;0.999874
23.06;0.999851
23.08;0.999829
23.1;0.999876
23.12;0.999921
23.14;0.999895
23.16;0.999911
23.18;1.000000
23.2;1.000064
23.22;1.000053
23.24;1.000030
23.26;1.000046
23.28;1.000002
23.3;0.999931
23.32;0.999991
23.34;1.000058
23.36;0.999996
23.38;0.999959
23.4;1.000026
23.42;1.000067
23.44;1.000017
23.46;0.999961
23.48;1.000004
23.5;1.000085
23.52;1.000073
23.54;1.000037
23.56;1.000057
23.58;1.000075
23.6;1.000022
23.62;0.999918
23.64;0.999890
23.66;0.999964
23.68;0.999978
23.7;0.999944
23.72;0.999962
23.74;0.999987
23.76;1.000039
23.78;1.000121
23.8;1.000172
23.82;1.000145
23.84;1.000054
23.86;1.000048
23.88;1.000087
23.9;1.000021
23.92;0.999907
23.94;0.999864
23.96;0.999910
23.98;0.999961
24;0.999970
24.02;0.999992
24.04;1.000019
24.06;1.000036
24.08;1.000082
24.1;1.000102
24.12;1.000063
24.14;1.000042
24.16;1.000023
24.18;1.000010
24.2;1.000032
24.22;1.000009
24.24;0.999954
24.26;0.999963
24.28;1.000059
24.3;1.000149
24.32;1.000136
24.34;1.000068
24.36;1.000061
24.38;1.000116
24.4;1.000141
24.42;1.000116
24.44;1.000088
24.46;1.000059
24.48;0.999993
24.5;0.999917
24.52;0.999878
24.54;0.999866
24.56;0.999881
24.58;0.999924
24.6;0.999954
24.62;0.999977
24.64;1.000048
24.66;1.000086
24.68;1.000041
24.7;1.000016
24.72;1.000045
24.74;1.000077
24.76;1.000073
24.78;1.000062
24.8;1.000046
24.82;1.000030
24.84;1.000072
24.86;1.000132
24.88;1.000155
